Order ID,Year,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,City Office,Customer Segment,Ship Mode,,,,,
B-25757,2022,17,-13,4,Clothing,Skirt,Debit Card,Agra,Small Business,Regular Air,,,,,
B-25758,2023,147,73,3,Clothing,Stole,COD,Hyderabad,Small Business,Regular Air,,,,,
B-25759,2022,965,-68,3,Electronics,Printers,COD,Chennai,Small Business,Regular Air,,,,,
B-25760,2022,12,-2,3,Clothing,Hankerchief,COD,Mumbai,Small Business,Regular Air,,,,,
B-25761,2023,14,-2,3,Clothing,Hankerchief,UPI,Orissa,Home Office,Express Air,,,,,
B-25762,2022,934,-916,7,Electronics,Electronic Games,COD,Delhi,Small Business,Regular Air,,,,,
B-25763,2023,929,-93,9,Clothing,Saree,COD,Agra,Corporate,Delivery Truck,,,,,
B-25764,2022,18,3,2,Clothing,Hankerchief,Debit Card,Hyderabad,Home Office,Regular Air,,,,,
B-25765,2022,916,192,11,Electronics,Phones,COD,Chennai,Home Office,Regular Air,,,,,
B-25766,2023,76,-72,9,Clothing,Hankerchief,COD,Mumbai,Consumer,Regular Air,,,,,
B-25767,2022,869,67,4,Furniture,Tables,COD,Orissa,Home Office,Regular Air,,,,,
B-25768,2022,112,24,3,Clothing,Kurti,COD,Delhi,Consumer,Regular Air,,,,,
B-25769,2023,39,16,6,Clothing,Skirt,UPI,Agra,Small Business,Regular Air,,,,,
B-25770,2022,857,-274,2,Furniture,Tables,COD,Hyderabad,Corporate,Regular Air,,,,,
B-25771,2022,828,230,2,Furniture,Chairs,COD,Chennai,Corporate,Regular Air,,,,,
B-25772,2023,1279,-640,8,Electronics,Printers,EMI,Mumbai,Home Office,Delivery Truck,,,,,
B-25773,2022,1250,486,7,Clothing,Saree,EMI,Orissa,Home Office,Regular Air,,,,,
B-25774,2022,823,-18,7,Furniture,Chairs,COD,Delhi,Consumer,Delivery Truck,,,,,
B-25775,2023,1157,-13,9,Furniture,Bookcases,Credit Card,Agra,Corporate,Regular Air,,,,,
B-25776,2022,126,-63,3,Electronics,Accessories,UPI,Hyderabad,Corporate,Regular Air,,,,,
B-25777,2023,1145,-706,3,Electronics,Phones,Credit Card,Chennai,Corporate,Regular Air,,,,,
B-25778,2022,774,170,3,Electronics,Accessories,COD,Mumbai,Corporate,Regular Air,,,,,
B-25779,2022,24,-1,2,Clothing,Hankerchief,COD,Goa,Small Business,Regular Air,,,,,
B-25780,2023,774,170,3,Electronics,Accessories,COD,Delhi,Corporate,Regular Air,,,,,
B-25781,2022,93,-1,2,Clothing,Hankerchief,COD,Agra,Small Business,Regular Air,,,,,
B-25782,2022,765,-36,3,Electronics,Electronic Games,COD,Hyderabad,Corporate,Regular Air,,,,,
B-25783,2023,762,101,6,Electronics,Printers,COD,Chennai,Corporate,Regular Air,,,,,
B-25784,2022,761,266,9,Electronics,Electronic Games,COD,Mumbai,Corporate,Regular Air,,,,,
B-25785,2022,96,-48,5,Clothing,Leggings,UPI,Orissa,Corporate,Regular Air,,,,,
B-25786,2023,1137,-14,7,Electronics,Printers,EMI,Delhi,Corporate,Regular Air,,,,,
B-25787,2022,18,8,2,Clothing,Hankerchief,Debit Card,Agra,Corporate,Regular Air,,,,,
B-25788,2022,749,-307,7,Furniture,Furnishings,COD,Goa,Corporate,Regular Air,,,,,
B-25789,2023,1120,199,6,Clothing,Saree,EMI,Goa,Corporate,Delivery Truck,,,,,
B-25790,2022,744,119,6,Electronics,Printers,COD,Goa,Corporate,Regular Air,,,,,
B-25791,2021,14,0,4,Clothing,Hankerchief,UPI,Hyderabad,Corporate,Regular Air,,,,,
B-25792,2021,19,8,2,Clothing,Hankerchief,Debit Card,Chennai,Corporate,Regular Air,,,,,
B-25793,2021,512,-225,5,Clothing,Saree,COD,Mumbai,Small Business,Regular Air,,,,,
B-25794,2021,742,198,2,Furniture,Bookcases,COD,Orissa,Small Business,Regular Air,,,,,
B-25795,2021,44,-40,3,Clothing,Stole,COD,Delhi,Corporate,Regular Air,,,,,
B-25796,2021,1061,-36,8,Furniture,Bookcases,EMI,Agra,Corporate,Regular Air,,,,,
B-25797,2021,19,-2,2,Clothing,Leggings,Debit Card,Goa,Home Office,Regular Air,,,,,
B-25798,2021,17,0,1,Clothing,Hankerchief,COD,Goa,Home Office,Express Air,,,,,
B-25799,2021,741,267,5,Furniture,Bookcases,COD,Delhi,Home Office,Regular Air,,,,,
B-25800,2021,735,-235,6,Electronics,Printers,COD,Agra,Home Office,Regular Air,,,,,
B-25801,2021,19,-1,1,Clothing,Shirt,Debit Card,Hyderabad,Consumer,Regular Air,,,,,
B-25802,2021,1021,-48,4,Electronics,Electronic Games,EMI,Chennai,Consumer,Regular Air,,,,,
B-25803,2022,556,-209,7,Clothing,Saree,COD,Mumbai,Home Office,Regular Air,,,,,
B-25804,2021,63,-17,6,Clothing,Leggings,COD,Orissa,Consumer,Delivery Truck,,,,,
B-25805,2021,734,248,2,Furniture,Chairs,COD,Delhi,Small Business,Delivery Truck,,,,,
B-25806,2022,933,166,5,Clothing,Saree,Credit Card,Agra,Small Business,Regular Air,,,,,
B-25807,2021,20,-9,6,Clothing,Hankerchief,Debit Card,Hyderabad,Small Business,Regular Air,,,,,
B-25808,2022,877,395,2,Furniture,Bookcases,Credit Card,Chennai,Small Business,Delivery Truck,,,,,
B-25809,2021,719,303,6,Furniture,Chairs,COD,Mumbai,Small Business,Regular Air,,,,,
B-25810,2021,12,1,2,Clothing,Hankerchief,COD,Orissa,Small Business,Regular Air,,,,,
B-25811,2022,714,56,4,Clothing,Saree,COD,Delhi,Small Business,Express Air,,,,,
B-25812,2021,50,-15,4,Clothing,Leggings,COD,Agra,Corporate,Delivery Truck,,,,,
B-25813,2022,709,-100,5,Electronics,Phones,COD,Hyderabad,Small Business,Express Air,,,,,
B-25814,2021,21,-12,3,Clothing,Hankerchief,Debit Card,Chennai,Small Business,Delivery Truck,,,,,
B-25815,2021,693,254,6,Clothing,Saree,COD,Mumbai,Small Business,Regular Air,,,,,
B-25816,2021,24,1,4,Clothing,Hankerchief,COD,Orissa,Small Business,Regular Air,,,,,
B-25817,2021,24,1,2,Clothing,Hankerchief,UPI,Delhi,Corporate,Delivery Truck,,,,,
B-25818,2022,24,1,2,Clothing,Hankerchief,COD,Agra,Corporate,Regular Air,,,,,
B-25819,2021,21,10,1,Clothing,T-shirt,Debit Card,Hyderabad,Corporate,Regular Air,,,,,
B-25820,2022,681,259,4,Furniture,Chairs,COD,Chennai,Corporate,Express Air,,,,,
B-25821,2021,674,-187,2,Furniture,Tables,COD,Mumbai,Corporate,Regular Air,,,,,
B-25822,2021,671,-309,5,Electronics,Electronic Games,COD,Goa,Home Office,Delivery Truck,,,,,
B-25823,2022,646,-213,3,Electronics,Electronic Games,COD,Delhi,Home Office,Regular Air,,,,,
B-25824,2021,40,15,1,Clothing,Kurti,COD,Agra,Consumer,Regular Air,,,,,
B-25825,2022,24,-2,2,Clothing,T-shirt,COD,Hyderabad,Consumer,Regular Air,,,,,
B-25826,2021,644,167,2,Electronics,Printers,COD,Chennai,Small Business,Delivery Truck,,,,,
B-25827,2021,643,225,2,Electronics,Printers,COD,Mumbai,Corporate,Express Air,,,,,
B-25828,2022,632,-316,6,Clothing,Saree,COD,Orissa,Corporate,Regular Air,,,,,
B-25829,2021,632,316,6,Clothing,Saree,COD,Delhi,Corporate,Regular Air,,,,,
B-25830,2021,610,208,3,Electronics,Printers,COD,Agra,Home Office,Delivery Truck,,,,,
B-25831,2021,78,-28,6,Clothing,Kurti,UPI,Goa,Home Office,Delivery Truck,,,,,
B-25832,2022,595,119,4,Furniture,Bookcases,COD,Goa,Home Office,Delivery Truck,,,,,
B-25833,2021,595,292,3,Clothing,Saree,COD,Goa,Home Office,Delivery Truck,,,,,
B-25834,2022,852,51,5,Furniture,Bookcases,Credit Card,Hyderabad,Home Office,Delivery Truck,,,,,
B-25835,2022,594,89,3,Furniture,Bookcases,COD,Chennai,Small Business,Delivery Truck,,,,,
B-25836,2022,585,175,13,Clothing,T-shirt,COD,Mumbai,Home Office,Delivery Truck,,,,,
B-25837,2022,582,262,5,Furniture,Furnishings,COD,Orissa,Home Office,Delivery Truck,,,,,
B-25838,2022,845,84,7,Clothing,Saree,Credit Card,Delhi,Home Office,Delivery Truck,,,,,
B-25839,2022,829,19,4,Electronics,Printers,Credit Card,Agra,Home Office,Delivery Truck,,,,,
B-25840,2023,561,212,3,Clothing,Saree,COD,Goa,Corporate,Regular Air,,,,,
B-25841,2022,771,-424,2,Electronics,Phones,Credit Card,Goa,Corporate,Express Air,,,,,
B-25842,2022,765,8,6,Clothing,Saree,EMI,Agra,Corporate,Express Air,,,,,
B-25843,2023,31,2,2,Clothing,Hankerchief,COD,Hyderabad,Corporate,Express Air,,,,,
B-25844,2022,557,-111,2,Electronics,Electronic Games,COD,Chennai,Small Business,Express Air,,,,,
B-25845,2022,757,371,2,Electronics,Printers,Credit Card,Mumbai,Small Business,Express Air,,,,,
B-25846,2023,545,-73,11,Electronics,Phones,COD,Orissa,Small Business,Express Air,,,,,
B-25847,2022,1052,-82,3,Furniture,Bookcases,UPI,Delhi,Small Business,Express Air,,,,,
B-25848,2022,544,-152,3,Furniture,Bookcases,COD,Agra,Small Business,Express Air,,,,,
B-25849,2023,22,9,2,Clothing,Leggings,Debit Card,Goa,Small Business,Express Air,,,,,
B-25850,2022,757,371,2,Electronics,Printers,Credit Card,Goa,Small Business,Express Air,,,,,
B-25851,2022,742,198,2,Furniture,Bookcases,Credit Card,Goa,Small Business,Express Air,,,,,
B-25852,2023,537,107,3,Clothing,Saree,COD,Hyderabad,Corporate,Express Air,,,,,
B-25853,2022,536,91,1,Clothing,Trousers,COD,Chennai,Corporate,Express Air,,,,,
B-25854,2022,6,3,1,Clothing,Hankerchief,COD,Mumbai,Corporate,Express Air,,,,,
B-25855,2023,523,204,7,Clothing,Trousers,COD,Orissa,Corporate,Regular Air,,,,,
B-25856,2022,27,9,2,Clothing,T-shirt,UPI,Delhi,Corporate,Regular Air,,,,,
B-25857,2022,516,392,8,Furniture,Chairs,COD,Agra,Consumer,Regular Air,,,,,
B-25858,2023,504,116,3,Furniture,Bookcases,COD,Goa,Consumer,Regular Air,,,,,
B-25859,2023,502,84,4,Electronics,Phones,COD,Goa,Home Office,Delivery Truck,,,,,
B-25860,2022,734,213,6,Electronics,Electronic Games,Credit Card,Agra,Home Office,Express Air,,,,,
B-25861,2022,42,12,2,Clothing,Kurti,COD,Hyderabad,Corporate,Regular Air,,,,,
B-25862,2023,29,11,4,Clothing,Skirt,COD,Chennai,Corporate,Regular Air,,,,,
B-25863,2022,240,12,6,Clothing,Kurti,UPI,Mumbai,Corporate,Regular Air,,,,,
B-25864,2022,496,-79,2,Clothing,Trousers,COD,Orissa,Corporate,Regular Air,,,,,
B-25865,2023,485,29,4,Electronics,Electronic Games,COD,Delhi,Corporate,Regular Air,,,,,
B-25866,2022,31,-11,3,Clothing,Skirt,UPI,Agra,Corporate,Delivery Truck,,,,,
B-25867,2022,676,151,3,Electronics,Printers,Credit Card,Goa,Corporate,Regular Air,,,,,
B-25868,2023,23,8,2,Clothing,Hankerchief,Debit Card,Goa,Home Office,Express Air,,,,,
B-25869,2022,13,3,2,Clothing,Hankerchief,COD,Goa,Home Office,Regular Air,,,,,
B-25870,2022,180,0,8,Clothing,Stole,COD,Hyderabad,Home Office,Express Air,,,,,
B-25871,2023,671,114,9,Electronics,Phones,Credit Card,Chennai,Home Office,Regular Air,,,,,
B-25872,2022,22,11,3,Clothing,Kurti,COD,Mumbai,Home Office,Express Air,,,,,
B-25873,2023,668,-31,3,Electronics,Printers,Credit Card,Orissa,Home Office,Regular Air,,,,,
B-25874,2022,145,0,3,Clothing,Saree,UPI,Delhi,Corporate,Delivery Truck,,,,,
B-25875,2022,24,8,2,Clothing,Skirt,Debit Card,Agra,Corporate,Regular Air,,,,,
B-25876,2023,476,0,3,Furniture,Chairs,COD,Goa,Small Business,Delivery Truck,,,,,
B-25877,2022,24,11,5,Clothing,Hankerchief,Debit Card,Goa,Corporate,Express Air,,,,,
B-25878,2022,37,3,3,Clothing,Hankerchief,COD,Agra,Corporate,Regular Air,,,,,
B-25879,2023,152,50,6,Clothing,Stole,UPI,Hyderabad,Corporate,Express Air,,,,,
B-25880,2022,32,11,2,Clothing,Leggings,UPI,Chennai,Small Business,Delivery Truck,,,,,
B-25881,2022,52,11,5,Clothing,Leggings,COD,Mumbai,Small Business,Regular Air,,,,,
B-25882,2023,24,11,3,Clothing,Hankerchief,Debit Card,Orissa,Small Business,Regular Air,,,,,
B-25883,2022,473,42,4,Furniture,Chairs,COD,Delhi,Small Business,Delivery Truck,,,,,
B-25884,2022,263,50,5,Clothing,Stole,COD,Agra,Small Business,Regular Air,,,,,
B-25885,2023,61,11,3,Clothing,Kurti,COD,Goa,Consumer,Regular Air,,,,,
B-25886,2022,469,-459,3,Electronics,Electronic Games,COD,Goa,Corporate,Regular Air,,,,,
B-25887,2023,1272,547,2,Electronics,Phones,COD,Goa,Corporate,Regular Air,,,,,
B-25888,2022,169,0,3,Electronics,Accessories,COD,Hyderabad,Corporate,Express Air,,,,,
B-25889,2022,25,11,3,Clothing,Leggings,Debit Card,Chennai,Corporate,Express Air,,,,,
B-25890,2023,457,-41,4,Clothing,Saree,COD,Mumbai,Corporate,Regular Air,,,,,
B-25891,2022,455,77,8,Electronics,Accessories,COD,Orissa,Corporate,Regular Air,,,,,
B-25892,2022,25,2,2,Clothing,Hankerchief,Debit Card,Delhi,Corporate,Delivery Truck,,,,,
B-25893,2023,450,-90,3,Electronics,Printers,COD,Agra,Corporate,Regular Air,,,,,
B-25894,2022,30,-35,1,Furniture,Chairs,COD,Goa,Corporate,Regular Air,,,,,
B-25895,2022,659,-37,2,Furniture,Bookcases,Credit Card,Goa,Corporate,Regular Air,,,,,
B-25896,2023,448,148,2,Electronics,Printers,COD,Agra,Corporate,Regular Air,,,,,
B-25897,2022,446,53,3,Electronics,Printers,COD,Hyderabad,Corporate,Regular Air,,,,,
B-25898,2022,98,-45,2,Furniture,Chairs,UPI,Chennai,Corporate,Regular Air,,,,,
B-25899,2021,443,11,1,Clothing,Saree,COD,Mumbai,Corporate,Regular Air,,,,,
B-25900,2021,427,-50,7,Electronics,Phones,COD,Orissa,Small Business,Regular Air,,,,,
B-25901,2021,656,-36,2,Furniture,Bookcases,Credit Card,Delhi,Corporate,Regular Air,,,,,
B-25902,2021,424,161,2,Clothing,Saree,COD,Agra,Consumer,Express Air,,,,,
B-25903,2021,27,8,2,Clothing,T-shirt,Debit Card,Goa,Small Business,Regular Air,,,,,
B-25904,2021,424,-272,5,Electronics,Phones,COD,Goa,Corporate,Regular Air,,,,,
B-25905,2021,202,4,4,Clothing,Hankerchief,COD,Goa,Corporate,Regular Air,,,,,
B-25906,2021,1275,357,2,Electronics,Phones,UPI,Hyderabad,Corporate,Regular Air,,,,,
B-25907,2021,418,70,7,Electronics,Phones,COD,Chennai,Small Business,Regular Air,,,,,
B-25908,2021,417,49,3,Electronics,Electronic Games,COD,Mumbai,Small Business,Regular Air,,,,,
B-25909,2021,199,48,4,Clothing,Stole,UPI,Orissa,Small Business,Regular Air,,,,,
B-25910,2021,385,-77,11,Furniture,Furnishings,UPI,Delhi,Small Business,Delivery Truck,,,,,
B-25911,2022,414,199,3,Electronics,Phones,COD,Agra,Small Business,Regular Air,,,,,
B-25912,2021,97,-45,4,Clothing,Saree,COD,Goa,Corporate,Delivery Truck,,,,,
B-25913,2021,648,50,6,Electronics,Electronic Games,Credit Card,Goa,Corporate,Regular Air,,,,,
B-25914,2022,27,-25,2,Clothing,Shirt,Debit Card,Agra,Home Office,Regular Air,,,,,
B-25915,2021,27,12,1,Clothing,Stole,Debit Card,Hyderabad,Home Office,Regular Air,,,,,
B-25916,2022,27,1,1,Clothing,Stole,UPI,Chennai,Home Office,Regular Air,,,,,
B-25917,2021,413,-314,9,Furniture,Chairs,COD,Mumbai,Home Office,Regular Air,,,,,
B-25918,2021,53,2,4,Clothing,Hankerchief,COD,Orissa,Home Office,Regular Air,,,,,
B-25919,2022,29,8,5,Clothing,Hankerchief,UPI,Delhi,Corporate,Regular Air,,,,,
B-25920,2021,30,13,1,Clothing,T-shirt,UPI,Agra,Home Office,Regular Air,,,,,
B-25921,2022,412,412,6,Clothing,Saree,COD,Goa,Small Business,Regular Air,,,,,
B-25922,2021,646,-23,2,Electronics,Printers,Credit Card,Goa,Small Business,Delivery Truck,,,,,
B-25923,2021,30,-5,5,Clothing,Stole,UPI,Goa,Small Business,Regular Air,,,,,
B-25924,2021,618,27,4,Furniture,Bookcases,Credit Card,Hyderabad,Small Business,Regular Air,,,,,
B-25925,2021,143,-124,5,Clothing,Saree,UPI,Chennai,Small Business,Express Air,,,,,
B-25926,2022,31,1,2,Clothing,Hankerchief,UPI,Mumbai,Small Business,Regular Air,,,,,
B-25927,2021,409,86,3,Clothing,Saree,COD,Orissa,Consumer,Express Air,,,,,
B-25928,2022,406,126,2,Clothing,Saree,COD,Delhi,Consumer,Express Air,,,,,
B-25929,2021,565,66,7,Clothing,Saree,Credit Card,Agra,Corporate,Regular Air,,,,,
B-25930,2021,85,2,6,Clothing,Stole,COD,Goa,Corporate,Regular Air,,,,,
B-25931,2022,561,118,5,Furniture,Bookcases,Credit Card,Goa,Corporate,Regular Air,,,,,
B-25932,2021,503,-56,2,Clothing,Trousers,COD,Agra,Corporate,Regular Air,,,,,
B-25933,2022,31,14,3,Clothing,Stole,UPI,Hyderabad,Corporate,Express Air,,,,,
B-25934,2021,398,111,8,Clothing,Hankerchief,COD,Chennai,Corporate,Regular Air,,,,,
B-25935,2021,388,93,2,Furniture,Bookcases,COD,Mumbai,Corporate,Regular Air,,,,,
B-25936,2022,498,-116,4,Clothing,Saree,UPI,Orissa,Consumer,Regular Air,,,,,
B-25937,2021,561,212,3,Clothing,Saree,Credit Card,Delhi,Consumer,Regular Air,,,,,
B-25938,2021,61,3,4,Clothing,Hankerchief,COD,Agra,Consumer,Delivery Truck,,,,,
B-25939,2021,34,-22,4,Clothing,T-shirt,COD,Srinagar,Consumer,Regular Air,,,,,
B-25940,2022,32,6,3,Clothing,Shirt,UPI,Goa,Consumer,Regular Air,,,,,
B-25941,2021,623,-192,3,Furniture,Tables,UPI,Orissa,Consumer,Regular Air,,,,,
B-25942,2022,520,151,3,Electronics,Phones,Credit Card,Delhi,Consumer,Regular Air,,,,,
B-25943,2022,32,-16,6,Clothing,Saree,UPI,Agra,Consumer,Regular Air,,,,,
B-25944,2022,32,-5,5,Clothing,Hankerchief,UPI,Srinagar,Consumer,Regular Air,,,,,
B-25945,2022,510,234,6,Electronics,Electronic Games,EMI,Goa,Consumer,Delivery Truck,,,,,
B-25946,2022,382,68,3,Clothing,Saree,COD,Orissa,Consumer,Regular Air,,,,,
B-25947,2022,33,13,3,Clothing,Leggings,UPI,Delhi,Small Business,Regular Air,,,,,
B-25948,2023,381,-13,2,Clothing,Saree,COD,Agra,Corporate,Express Air,,,,,
B-25949,2022,490,88,2,Electronics,Accessories,EMI,Srinagar,Corporate,Regular Air,,,,,
B-25950,2022,381,144,2,Clothing,Saree,COD,Goa,Corporate,Delivery Truck,,,,,
B-25951,2023,487,143,4,Electronics,Phones,EMI,Orissa,Corporate,Regular Air,,,,,
B-25952,2022,366,84,3,Furniture,Bookcases,COD,Delhi,Corporate,Regular Air,,,,,
B-25953,2022,33,-29,3,Clothing,Shirt,UPI,Agra,Corporate,Regular Air,,,,,
B-25954,2023,365,107,3,Electronics,Phones,COD,Srinagar,Home Office,Regular Air,,,,,
B-25955,2022,207,-100,2,Clothing,Saree,UPI,Goa,Small Business,Express Air,,,,,
B-25956,2022,359,-338,5,Furniture,Bookcases,COD,Orissa,Small Business,Regular Air,,,,,
B-25957,2023,351,-47,8,Electronics,Phones,COD,Delhi,Small Business,Delivery Truck,,,,,
B-25958,2022,485,199,4,Clothing,Saree,EMI,Agra,Consumer,Regular Air,,,,,
